DateTime;Total Load
118391;8242.73
118392;8159.7
118393;7987.87
118394;7953.95
118395;7862.4
118396;7938.2
118397;7870.32
118398;7860.7
118399;7861.72
118400;7830.06
118401;7890.65
118402;7911.6
118403;8001.38
118404;7940.8
118405;8112.43
118406;8079.99
118407;8176.18
118408;8291.84
118409;8362.0
118410;8479.12
118411;8454.49
118412;8653.35
118413;8791.02
118414;8857.89
118415;9093.02
118416;9267.61
118417;9359.9
118418;9385.98
118419;9498.38
118420;9448.33
118421;9317.7
118422;9207.23
118423;9289.87
118424;9346.57
118425;9461.57
118426;9479.72
118427;9589.62
118428;9773.44
118429;9737.77
118430;9825.75
118431;9857.1
118432;9963.79
118433;10010.09
118434;10099.57
118435;10191.8
118436;10141.52
118437;10211.22
118438;10181.6
118439;10067.76
118440;10023.35
118441;10057.17
118442;9944.99
118443;9892.26
118444;9911.32
118445;9938.34
118446;9967.97
118447;9943.43
118448;10012.75
118449;10042.75
118450;10048.38
118451;10073.31
118452;10148.1
118453;10129.31
118454;10212.89
118455;10170.97
118456;10233.21
118457;10170.46
118458;10207.87
118459;10307.65
118460;10353.95
118461;10446.93
118462;10408.09
118463;10342.36
118464;10288.46
118465;10243.98
118466;10240.7
118467;10267.89
118468;10236.15
118469;10169.66
118470;10160.07
118471;10060.42
118472;9980.68
118473;9845.94
118474;9764.3
118475;9682.64
118476;9517.69
118477;9418.05
118478;9318.53
118479;9163.8
118480;8984.69
118481;8609.13
118482;8488.26
118483;8420.58
118484;8148.42
118485;7997.24
118486;7860.39
118487;7833.44
118488;7816.11
118489;7763.41
118490;7646.27
118491;7610.52
118492;7488.58
118493;7508.45
118494;7450.94
118495;7532.99
118496;7465.86
118497;7363.7
118498;7303.16
118499;7507.23
118500;7543.97
118501;7569.57
118502;7712.95
118503;7610.49
118504;7756.88
118505;7804.37
118506;7852.8
118507;7791.51
118508;7886.75
118509;8049.96
118510;8219.35
118511;8370.35
118512;8367.01
118513;8356.71
118514;8590.15
118515;8565.23
118516;8505.32
118517;8395.43
118518;8388.97
118519;8318.17
118520;8431.86
118521;8552.87
118522;8420.61
118523;8512.62
118524;8447.13
118525;8410.81
118526;8445.75
118527;8565.46
118528;8597.47
118529;8513.72
118530;8507.35
118531;8522.12
118532;8484.15
118533;8616.46
118534;8512.93
118535;8253.97
118536;8335.81
118537;8259.05
118538;8291.0
118539;8171.72
118540;8097.56
118541;8234.33
118542;8202.96
118543;8225.88
118544;8278.72
118545;8279.78
118546;8372.02
118547;8180.3
118548;8143.3
118549;8280.58
118550;8338.55
118551;8441.18
118552;8636.18
118553;8706.03
118554;8617.41
118555;8613.01
118556;8651.69
118557;8624.11
118558;8559.2
118559;8358.43
118560;8356.82
118561;8433.88
118562;8374.86
118563;8285.14
118564;8110.28
118565;8041.19
118566;8203.44
118567;8132.82
118568;8183.79
118569;7722.06
118570;7718.25
118571;7710.5
118572;7483.35
118573;7274.34
118574;7329.56
118575;7310.39
118576;7106.69
118577;7174.1
118578;7184.42
118579;7232.42
118580;7052.66
118581;7029.09
118582;7080.99
118583;7129.01
118584;7241.87
118585;7226.66
118586;7180.27
118587;7161.75
118588;7271.65
118589;7154.82
118590;7133.87
118591;7125.62
118592;7308.01
118593;7304.64
118594;7315.16
118595;7382.84
118596;7446.25
118597;7409.99
118598;7561.29
118599;7612.46
118600;7676.15
118601;7750.05
118602;7743.63
118603;7827.71
118604;7841.58
118605;7956.81
118606;8076.82
118607;8134.96
118608;8242.05
118609;8314.68
118610;8289.22
118611;8322.44
118612;8389.88
118613;8272.85
118614;8312.75
118615;8119.41
118616;8246.67
118617;8423.14
118618;8358.3
118619;8338.36
118620;8297.22
118621;8367.48
118622;8403.41
118623;8502.36
118624;8547.85
118625;8648.23
118626;8615.94
118627;8744.95
118628;8843.18
118629;8717.06
118630;8658.48
118631;8713.29
118632;8784.08
118633;8701.0
118634;8734.93
118635;8625.98
118636;8713.27
118637;8674.74
118638;8649.91
118639;8769.24
118640;8623.35
118641;8649.39
118642;8864.32
118643;8860.75
118644;8919.64
118645;8829.81
118646;8925.57
118647;8909.13
118648;8863.42
118649;8845.56
118650;9034.55
118651;9132.56
118652;9224.53
118653;9074.93
118654;9240.7
118655;9182.82
118656;8971.51
118657;9019.98
118658;8944.88
118659;8965.18
118660;8832.16
118661;8896.17
118662;8866.27
118663;8716.87
118664;8706.29
118665;8581.5
118666;8454.91
118667;8330.23
118668;8211.87
118669;8111.14
118670;8116.66
118671;7981.73
118672;7904.13
118673;7722.75
118674;7605.76
118675;7550.17
118676;7662.81
118677;7386.65
118678;7361.48
118679;7575.85
118680;7538.35
118681;7560.8
118682;7649.98
118683;7635.78
118684;7607.21
118685;7722.68
118686;7715.62
118687;7694.67
118688;7730.98
118689;7763.98
118690;7845.03
118691;7889.97
118692;7788.75
118693;7780.17
118694;8038.26
118695;8131.95
118696;8232.73
118697;8216.07
118698;8329.19
118699;8390.34
118700;8419.02
118701;8610.01
118702;8753.13
118703;8896.31
118704;9057.25
118705;9098.7
118706;9213.05
118707;9111.67
118708;9011.02
118709;9016.76
118710;8925.39
118711;8979.41
118712;9082.73
118713;9203.75
118714;9305.47
118715;9326.11
118716;9355.53
118717;9445.66
118718;9460.04
118719;9390.72
118720;9491.64
118721;9567.17
118722;9656.76
118723;9625.38
118724;9648.08
118725;9771.81
118726;9690.66
118727;9687.83
118728;9768.05
118729;9830.24
118730;9714.14
118731;9652.6
118732;9745.03
118733;9810.5
118734;9849.42
118735;9987.95
118736;9938.09
118737;9995.71
118738;10211.43
118739;10139.49
118740;10096.45
118741;10126.63
118742;9957.28
118743;10077.69
118744;10128.58
118745;10213.69
118746;10284.72
118747;10223.49
118748;10158.92
118749;10350.16
118750;10343.58
118751;10402.62
118752;10398.03
118753;10321.12
118754;10278.24
118755;10247.6
118756;10253.43
118757;10125.05
118758;10148.63
118759;10049.27
118760;10024.57
118761;9998.64
118762;9941.35
118763;9862.44
118764;9713.02
118765;9567.89
118766;9453.51
118767;9287.6
118768;9083.4
118769;8797.19
118770;8683.86
118771;8513.41
118772;8400.01
118773;8155.01
118774;8212.09
118775;8196.01
118776;8176.14
118777;8149.46
118778;8144.69
118779;7986.7
118780;8004.95
118781;7895.82
118782;7891.6
118783;7863.83
118784;8006.49
118785;8069.73
118786;8162.71
118787;8129.87
118788;8136.02
118789;8200.38
118790;8377.07
118791;8578.8
118792;8418.9
118793;8416.46
118794;8656.41
118795;8829.21
118796;8929.4
118797;8918.62
118798;9159.95
118799;9345.2
118800;9306.51
118801;9483.33
118802;9730.35
118803;9575.0
118804;9314.24
118805;9149.3
118806;9325.2
118807;9330.89
118808;9389.66
118809;9411.05
118810;9529.9
118811;9531.66
118812;9697.27
118813;9684.89
118814;9733.31
118815;9801.7
118816;9831.29
118817;9868.71
118818;9974.03
118819;10023.44
118820;10066.9
118821;10025.57
118822;9874.12
118823;9919.54
118824;9881.41
118825;9858.9
118826;9968.68
118827;9905.4
118828;9948.7
118829;10089.22
118830;10108.5
118831;10152.51
118832;10230.8
118833;10269.71
118834;10239.98
118835;10364.24
118836;10328.71
118837;10300.3
118838;10348.71
118839;10336.12
118840;10330.43
118841;10421.28
118842;10398.12
118843;10360.9
118844;10522.92
118845;10644.37
118846;10686.04
118847;10667.86
118848;10644.06
118849;10769.31
118850;10637.09
118851;10570.85
118852;10539.38
118853;10705.96
118854;10641.46
118855;10438.62
118856;10367.76
118857;10219.14
118858;10251.01
118859;10099.33
118860;9958.26
118861;9839.2
118862;9786.76
118863;9615.25
118864;9216.13
118865;8942.77
118866;9037.35
118867;8668.13
118868;8583.43
118869;8117.24
118870;8330.9
118871;8227.06
118872;7988.68
118873;8060.21
118874;7944.17
118875;7839.2
118876;7921.72
118877;7820.28
118878;7986.52
118879;8051.32
118880;8047.12
118881;8012.12
118882;8125.51
118883;8035.81
118884;8183.78
118885;8196.78
118886;8250.29
118887;8333.52
118888;8436.8
118889;8450.86
118890;8532.32
118891;8695.52
118892;8819.62
118893;9066.87
118894;9145.41
118895;9246.91
118896;9435.86
118897;9563.75
118898;9720.27
118899;9700.92
118900;9449.4
118901;9345.49
118902;9547.15
118903;9564.14
118904;9596.08
118905;9581.71
118906;9778.39
118907;9774.99
118908;9836.64
118909;9913.6
118910;10064.38
118911;10154.66
118912;10235.8
118913;10299.5
118914;10264.42
118915;10291.7
118916;10331.42
118917;10422.67
118918;10404.18
118919;10358.55
118920;10323.0
118921;10240.25
118922;10115.01
118923;10131.66
118924;10125.62
118925;10150.63
118926;10083.13
118927;10042.49
118928;10131.37
118929;10079.76
118930;10124.49
118931;10063.56
118932;10142.91
118933;10130.06
118934;10282.02
118935;10268.03
118936;10244.18
118937;10304.79
118938;10191.55
118939;10196.27
118940;10251.24
118941;10483.36
118942;10428.04
118943;10393.92
118944;10309.87
118945;10285.04
118946;10235.08
118947;10241.99
118948;10325.64
118949;10293.26
118950;10297.78
118951;10215.12
118952;10183.03
118953;10103.79
118954;10066.68
118955;9981.67
118956;9896.21
118957;9796.64
118958;9609.98
118959;9384.47
118960;9239.07
118961;9020.56
118962;8897.55
118963;8653.81
118964;8437.79
118965;8144.62
118966;8065.22
118967;8059.57
118968;8046.85
118969;7949.27
118970;7951.25
118971;7888.46
118972;7899.6
118973;7860.67
118974;7815.58
118975;7877.02
118976;7894.0
118977;7971.67
118978;7991.72
118979;8051.13
118980;8016.93
118981;8036.88
118982;8170.6
118983;8265.65
118984;8326.6
118985;8364.07
118986;8475.42
118987;8598.52
118988;8739.51
118989;8993.88
118990;9038.48
118991;9241.5
118992;9283.85
118993;9449.1
118994;9584.69
118995;9604.79
118996;9386.86
118997;9318.13
118998;9347.91
118999;9343.0
119000;9438.56
119001;9559.68
119002;9681.99
119003;9662.04
119004;9723.61
119005;9691.41
119006;9768.64
119007;9808.31
119008;9874.17
119009;9957.48
119010;10015.27
119011;9995.68
119012;10132.39
119013;10136.32
119014;10013.52
119015;10002.77
119016;10015.59
119017;9928.53
119018;9857.39
119019;9848.7
119020;9771.03
119021;9858.94
119022;9923.53
119023;9884.54
119024;9937.03
